Group,GroupName,Rank,No,Name,Team,SartTime,EndTime,ResultTime,GapTime,AvgSpeed,Points
8,EBike,1,002,楼文钧,假日单车山地队,09:36:00.534,09:49:01.504,00:13:00.970,00:00:00.000,6.231,500
8,EBike,2,001,丁再刚,勇峰自行车公园,09:35:00.748,09:48:29.822,00:13:29.074,00:00:28.104,6.007,450
8,EBike,3,003,章子俊,石舌章队,09:38:01.096,09:59:59.723,00:21:58.627,00:08:57.657,3.687,420
8,EBike,4,008,仰海龙,蛟龙,09:37:01.087,10:03:01.372,00:26:00.285,00:12:59.315,3.115,400
8,EBike,5,005,姜波,轻蜂摩嗨,DNS,DNS,DNS,DNS,0,0
8,EBike,6,006,姚路,轻蜂,DNS,DNS,DNS,DNS,0,0
8,EBike,7,007,王蒙,杭州Trek,DNS,DNS,DNS,DNS,0,0
8,EBike,8,004,刘卓,虬龙科技,DNS,DNS,DNS,DNS,0,0
4,男子组,1,101,雷星,HangZhou Giant Racing,10:50:08.437,11:09:16.718,00:19:08.281,00:00:00.000,4.233,500
4,男子组,2,102,吴超,长沙顺时针车队,09:39:00.061,09:58:19.928,00:19:19.867,00:00:11.586,4.193,450
4,男子组,3,115,杨琦,27Bike上海能量x生滑,09:42:00.692,10:02:03.888,00:20:03.196,00:00:54.915,4.040,420
4,男子组,4,112,杜芳旭,长沙CYCGO速行俱乐部,09:44:00.028,10:05:34.219,00:21:34.191,00:02:25.910,3.756,400
4,男子组,5,104,唐梦麒,北京GDRRacingTeam,09:40:01.968,10:01:49.304,00:21:47.336,00:02:39.055,3.718,390
4,男子组,6,117,Baillod Yves Laurent Gabriel,上海魅力单车,09:47:00.568,10:09:40.064,00:22:39.496,00:03:31.215,3.576,380
4,男子组,7,103,周小焜,长沙CYCGO速行俱乐部,09:41:01.272,10:04:35.771,00:23:34.499,00:04:26.218,3.437,370
4,男子组,8,134,周鹰,天空穿越车队,09:50:00.763,10:13:53.737,00:23:52.974,00:04:44.693,3.394,360
4,男子组,9,143,周智文,蓝色单车,10:08:03.780,10:32:11.649,00:24:07.869,00:04:59.588,3.359,350
4,男子组,10,113,俞斌,鬼魅仔车队,10:00:00.023,10:24:35.807,00:24:35.784,00:05:27.503,3.295,340
4,男子组,11,123,Jethro Kang,Rehau,09:49:01.094,10:13:42.861,00:24:41.767,00:05:33.486,3.282,330
4,男子组,12,118,Eric Loriot,27Bike上海能量x生滑,10:06:00.641,10:30:44.109,00:24:43.468,00:05:35.187,3.277,320
4,男子组,13,119,Ammon Lewis,27Bike上海能量x生滑,09:45:00.476,10:10:18.088,00:25:17.612,00:06:09.331,3.204,310
4,男子组,14,121,Boris Boullot,27Bike上海能量x生滑,10:05:07.095,10:30:37.054,00:25:29.959,00:06:21.678,3.179,300
4,男子组,15,130,李祖彜/Barry Lee,西虹试飞客队,09:46:00.785,10:11:36.095,00:25:35.310,00:06:27.029,3.166,290
4,男子组,16,142,罗磊,蓝色单车,09:48:01.140,10:13:38.625,00:25:37.485,00:06:29.204,3.162,280
4,男子组,17,120,Nicolas Thiry,27Bike上海能量x生滑,10:09:53.047,10:35:53.720,00:26:00.673,00:06:52.392,3.115,270
4,男子组,18,138,王舒,上海魅力单车,10:13:29.844,10:39:55.970,00:26:26.126,00:07:17.845,3.064,260
4,男子组,19,148,喻杰,HangZhou Giant,09:51:01.294,10:18:09.611,00:27:08.317,00:08:00.036,2.985,250
4,男子组,20,122,Erik,Team Fuzzy Balls,09:55:31.852,10:23:03.272,00:27:31.420,00:08:23.139,2.944,240
4,男子组,21,124,谭钊,长沙半小时车队,10:03:01.094,10:31:03.691,00:28:02.597,00:08:54.316,2.889,230
4,男子组,22,114,金鑫越,上虞跳跳驴,09:54:09.651,10:22:33.576,00:28:23.925,00:09:15.644,2.854,220
4,男子组,23,125,洪辉熊,长沙半小时车队,10:00:59.949,10:30:02.572,00:29:02.623,00:09:54.342,2.790,210
4,男子组,24,149,马力,漫奇车队,09:52:02.965,10:21:43.188,00:29:40.223,00:10:31.942,2.730,200
4,男子组,25,128,欧阳一茗,长沙半小时车队,09:53:02.332,10:24:01.432,00:30:59.100,00:11:50.819,2.614,190
4,男子组,26,147,陈一栋,HIBP,10:02:00.094,10:33:52.642,00:31:52.548,00:12:44.267,2.542,180
4,男子组,27,108,黄立观,假日单车山地队,09:43:02.533,10:15:03.423,00:32:00.890,00:12:52.609,2.531,170
4,男子组,28,135,黄乐,天空穿越车队,10:07:01.263,10:39:10.867,00:32:09.604,00:13:01.323,2.519,160
4,男子组,29,131,邓科,西虹试飞客队,09:57:30.915,10:30:06.261,00:32:35.346,00:13:27.065,2.486,150
4,男子组,30,139,马凌轩,上海魅力单车,09:56:30.830,10:29:57.377,00:33:26.547,00:14:18.266,2.423,145
4,男子组,31,127,徐鑫,长沙半小时车队,10:15:30.877,10:50:24.809,00:34:53.932,00:15:45.651,2.322,140
4,男子组,32,151,应明浩,HIBP,10:09:00.348,10:46:04.742,00:37:04.394,00:17:56.113,2.185,135
4,男子组,33,141,许皓,上海魅力单车,09:58:30.933,10:35:46.697,00:37:15.764,00:18:07.483,2.174,130
4,男子组,34,144,陈南剑,蜗牛队,10:16:00.079,11:00:12.766,00:44:12.687,00:25:04.406,1.833,125
4,男子组,35,111,孙祺龙,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,36,136,许中柱,天空穿越车队,DNS,DNS,DNS,DNS,0,0
4,男子组,37,137,李俊,天空穿越车队,DNS,DNS,DNS,DNS,0,0
4,男子组,38,105,周吉强,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,39,107,方子凡,双轮汇SLHRacing,DNS,DNS,DNS,DNS,0,0
4,男子组,40,140,彭先元,上海魅力单车,DNS,DNS,DNS,DNS,0,0
4,男子组,41,133,黄浩,天空穿越车队,DNS,DNS,DNS,DNS,0,0
4,男子组,42,116,黄选锦,骑行家,DNS,DNS,DNS,DNS,0,0
4,男子组,43,109,梅雨龙,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,44,129,周吉吉,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,45,145,张代行,蜗牛队,DNS,DNS,DNS,DNS,0,0
4,男子组,46,146,陈曦,阿里天驱,DNS,DNS,DNS,DNS,0,0
4,男子组,47,126,周王忍,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,48,110,马琰,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,49,106,周晓龙,双轮汇SLHRacing,DNS,DNS,DNS,DNS,0,0
4,男子组,50,150,王国栋,Byron,DNS,DNS,DNS,DNS,0,0
4,男子组,51,132,刘智豪,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
3,女子组,1,201,张佳莉,鬼魅仔车队,10:17:44.393,10:49:33.119,00:31:48.726,00:00:00.000,2.547,400
3,女子组,2,203,陈海玲,27Bike上海能量x生滑,10:19:00.041,10:59:47.512,00:40:47.471,00:08:58.745,1.986,350
3,女子组,3,202,浦慧菁,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
3,女子组,4,204,李爱芹,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,0,0
9,体验组,1,301,窦安强,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,1,403,陈海川,西虹试飞客队,10:25:01.702,10:45:29.165,00:20:27.463,00:00:00.000,3.961,500
7,大师组,2,402,王杜,天空穿越车队,10:26:29.428,10:47:06.001,00:20:36.573,00:00:09.110,3.932,450
7,大师组,3,405,戴乐鸣,上海魅力单车,10:28:01.834,10:49:46.944,00:21:45.110,00:01:17.647,3.724,420
7,大师组,4,406,肖辉,长沙CYCGO速行俱乐部,10:30:29.054,10:53:53.661,00:23:24.607,00:02:57.144,3.462,400
7,大师组,5,412,林世忠,西虹试飞客队,10:29:29.441,10:55:15.423,00:25:45.982,00:05:18.519,3.146,390
7,大师组,6,422,谢东珂,雪天车队,10:33:30.915,11:02:08.149,00:28:37.234,00:08:09.771,2.831,380
7,大师组,7,425,周军,西虹试飞客队,10:31:29.175,11:00:46.757,00:29:17.582,00:08:50.119,2.766,370
7,大师组,8,407,ASH/阿什,HIBP,10:44:53.975,11:14:36.625,00:29:42.650,00:09:15.187,2.727,360
7,大师组,9,421,周炅闻,天空穿越车队,10:36:59.486,11:07:34.473,00:30:34.987,00:10:07.524,2.650,350
7,大师组,10,413,朱嘉钧,27Bike上海能量x生滑,10:32:29.353,11:13:04.936,00:40:35.583,00:20:08.120,1.996,340
7,大师组,11,424,林正峯,西虹试飞客队,10:34:35.162,11:25:24.806,00:50:49.644,00:30:22.181,1.594,330
7,大师组,12,431,沈振亮,27Bike上海能量x生滑,10:38:01.010,11:30:23.823,00:52:22.813,00:31:55.350,1.547,320
7,大师组,13,410,Johannes,Team Fuzzy Balls,DNS,DNS,DNS,DNS,0,0
7,大师组,14,414,肖庆,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,15,415,彭惟礼,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,16,416,严俊,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,17,417,周辰烨,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,18,418,唐陈,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,19,419,朱陈华,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,20,420,徐煜寰,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,21,409,Ian Douglas-Jones,Team Fuzzy Balls,DNS,DNS,DNS,DNS,0,0
7,大师组,22,404,高一洋,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,23,423,夏永照,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
7,大师组,24,411,Andreas,Team Fuzzy Balls,DNS,DNS,DNS,DNS,0,0
7,大师组,25,408,刘怡,省级机关自行车队,DNS,DNS,DNS,DNS,0,0
7,大师组,26,426,顾春华,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
7,大师组,27,427,苏涵宇,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
7,大师组,28,428,张亮,闪电中国杭州中老年扛车队,DNS,DNS,DNS,DNS,0,0
7,大师组,29,429,宋舒波,假日单车山地队,DNS,DNS,DNS,DNS,0,0
7,大师组,30,430,范旻,省级机关自行车队,DNS,DNS,DNS,DNS,0,0
7,大师组,31,401,骆沙舟,假日单车山地队,DNS,DNS,DNS,DNS,0,0
7,大师组,32,432,陈黎升,鬼魅仔车队,DNS,DNS,DNS,DNS,0,0
7,大师组,33,433,Woon Hon Siong,鬼魅仔车队,DNS,DNS,DNS,DNS,0,0
7,大师组,34,434,李程,省直机关自行车队,DNS,DNS,DNS,DNS,0,0
7,大师组,35,435,吴双,假日单车山地队,DNS,DNS,DNS,DNS,0,0
