Group,GroupName,Rank,No,Name,Team,SartTime,EndTime,ResultTime,GapTime,AvgSpeed,Points
4,男子组,45,106,周晓龙,双轮汇SLHRacing,DNS,DNS,DNS,DNS,0,0
4,男子组,46,146,陈曦,阿里天驱,DNS,DNS,DNS,DNS,0,0
4,男子组,47,111,孙祺龙,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,48,129,周吉吉,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,49,105,周吉强,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,50,132,刘智豪,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
4,男子组,51,127,徐鑫,长沙半小时车队,14:50:31.981,DNF,DNF,DNF,0,0
3,女子组,1,201,张佳莉,鬼魅仔车队,15:10:06.937,15:40:19.927,00:30:12.990,00:00:00.000,2.682,400
3,女子组,2,203,陈海玲,27Bike上海能量x生滑,15:10:36.258,15:44:05.392,00:33:29.134,00:03:16.144,2.419,350
3,女子组,3,202,浦慧菁,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
3,女子组,4,204,李爱芹,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,0,0
9,体验组,1,301,窦安强,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,1,401,骆沙舟,假日单车山地队,15:12:36.442,15:28:59.563,00:16:23.121,00:00:00.000,4.944,500
7,大师组,2,403,陈海川,西虹试飞客队,15:14:36.528,15:31:43.446,00:17:06.918,00:00:43.797,4.737,450
7,大师组,3,402,王杜,天空穿越车队,15:13:35.392,15:31:16.197,00:17:40.805,00:01:17.684,4.585,420
7,大师组,4,405,戴乐鸣,上海魅力单车,15:15:35.448,15:33:51.287,00:18:15.839,00:01:52.718,4.438,400
7,大师组,5,412,林世忠,西虹试飞客队,15:20:32.058,15:39:46.684,00:19:14.626,00:02:51.505,4.211,390
7,大师组,6,406,肖辉,长沙CYCGO速行俱乐部,15:16:35.625,15:37:19.907,00:20:44.282,00:04:21.161,3.907,380
7,大师组,7,427,苏涵宇,西虹试飞客队,15:19:36.582,15:42:27.567,00:22:50.985,00:06:27.864,3.547,370
7,大师组,8,407,ASH/阿什,HIBP,15:28:05.419,15:51:57.937,00:23:52.518,00:07:29.397,3.394,360
7,大师组,9,425,周军,西虹试飞客队,15:25:05.943,15:49:06.893,00:24:00.950,00:07:37.829,3.375,350
7,大师组,10,413,朱嘉钧,27Bike上海能量x生滑,15:21:07.902,15:45:53.073,00:24:45.171,00:08:22.050,3.273,340
7,大师组,11,422,谢东珂,雪天车队,15:23:06.531,15:50:59.843,00:27:53.312,00:11:30.191,2.905,330
7,大师组,12,414,肖庆,上海魅力单车,15:18:35.866,15:47:27.694,00:28:51.828,00:12:28.707,2.808,320
7,大师组,13,419,朱陈华,上海魅力单车,15:22:36.362,15:52:17.766,00:29:41.404,00:13:18.283,2.729,310
7,大师组,14,418,唐陈,上海魅力单车,15:22:07.522,15:52:08.230,00:30:00.708,00:13:37.587,2.700,300
7,大师组,15,417,周辰烨,上海魅力单车,15:21:36.225,15:53:30.899,00:31:54.674,00:15:31.553,2.539,290
7,大师组,16,424,林正峯,西虹试飞客队,15:23:39.192,15:57:12.840,00:33:33.648,00:17:10.527,2.414,280
7,大师组,17,408,刘怡,省级机关自行车队,15:17:35.361,15:59:47.367,00:42:12.006,00:25:48.885,1.919,270
7,大师组,18,404,高一洋,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,19,410,Johannes,Team Fuzzy Balls,DNS,DNS,DNS,DNS,0,0
7,大师组,20,420,徐煜寰,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,21,421,周炅闻,天空穿越车队,DNS,DNS,DNS,DNS,0,0
7,大师组,22,411,Andreas,Team Fuzzy Balls,DNS,DNS,DNS,DNS,0,0
7,大师组,23,423,夏永照,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
7,大师组,24,416,严俊,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,25,409,Ian Douglas-Jones,Team Fuzzy Balls,DNS,DNS,DNS,DNS,0,0
7,大师组,26,426,顾春华,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
7,大师组,27,415,彭惟礼,上海魅力单车,DNS,DNS,DNS,DNS,0,0
7,大师组,28,428,张亮,闪电中国杭州中老年扛车队,DNS,DNS,DNS,DNS,0,0
7,大师组,29,429,宋舒波,假日单车山地队,15:27:31.584,DNF,DNF,DNF,0,0
7,大师组,30,430,范旻,省级机关自行车队,DNS,DNS,DNS,DNS,0,0
7,大师组,31,431,沈振亮,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,0,0
7,大师组,32,432,陈黎升,鬼魅仔车队,DNS,DNS,DNS,DNS,0,0
7,大师组,33,433,Woon Hon Siong,鬼魅仔车队,DNS,DNS,DNS,DNS,0,0
7,大师组,34,434,李程,省直机关自行车队,DNS,DNS,DNS,DNS,0,0
7,大师组,35,435,吴双,假日单车山地队,DNS,DNS,DNS,DNS,0,0
