Group,GroupName,Rank,No,Name,Team,SartTime,EndTime,ResultTime,GapTime,AvgSpeed,Points
8,EBike,1,001,丁再刚,勇峰自行车公园,DNS,DNS,DNS,DNS,0,0
8,EBike,2,002,楼文钧,假日单车山地队,DNS,DNS,DNS,DNS,0,0
8,EBike,3,003,章子俊,石舌章队,DNS,DNS,DNS,DNS,0,0
8,EBike,4,004,刘卓,虬龙科技,DNS,DNS,DNS,DNS,0,0
8,EBike,5,005,姜波,轻蜂摩嗨,DNS,DNS,DNS,DNS,0,0
8,EBike,6,006,姚路,轻蜂,DNS,DNS,DNS,DNS,0,0
8,EBike,7,007,王蒙,杭州Trek,DNS,DNS,DNS,DNS,0,0
8,EBike,8,008,仰海龙,蛟龙,DNS,DNS,DNS,DNS,0,0
4,男子组,1,101,雷星,HangZhou Giant Racing,DNS,DNS,DNS,DNS,0,0
4,男子组,2,102,吴超,长沙顺时针车队,DNS,DNS,DNS,DNS,0,0
4,男子组,3,103,周小焜,长沙CYCGO速行俱乐部,DNS,DNS,DNS,DNS,0,0
4,男子组,4,104,唐梦麒,北京GDRRacingTeam,DNS,DNS,DNS,DNS,0,0
4,男子组,5,105,周吉强,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,6,106,周晓龙,双轮汇SLHRacing,DNS,DNS,DNS,DNS,0,0
4,男子组,7,107,方子凡,双轮汇SLHRacing,DNS,DNS,DNS,DNS,0,0
4,男子组,8,108,黄立观,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,9,109,梅雨龙,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,10,110,马琰,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,11,111,孙祺龙,假日单车山地队,DNS,DNS,DNS,DNS,0,0
4,男子组,12,112,杜芳旭,CYCGO速行车队兼长沙迪卡侬旗舰店运动大使,DNS,DNS,DNS,DNS,0,0
4,男子组,13,113,俞斌,鬼魅仔车队,DNS,DNS,DNS,DNS,0,0
4,男子组,14,114,金鑫越,上虞跳跳驴,DNS,DNS,DNS,DNS,0,0
4,男子组,15,115,杨琦,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,0,0
4,男子组,16,116,黄选锦,骑行家,DNS,DNS,DNS,DNS,0,0
4,男子组,17,117,Baillod Yves Laurent Gabriel,上海魅力单车,DNS,DNS,DNS,DNS,0,0
4,男子组,18,118,Eric Loriot,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,0,0
4,男子组,19,119,Ammon Lewis,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,0,0
4,男子组,20,120,Nicolas Thiry,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,0,0
4,男子组,21,121,Boris Boullot,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,0,0
4,男子组,22,122,Erik,Team Fuzzy Balls,DNS,DNS,DNS,DNS,0,0
4,男子组,23,123,Jethro Kang,Rehau,DNS,DNS,DNS,DNS,0,0
4,男子组,24,124,谭钊,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,25,125,洪辉熊,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,26,126,周王忍,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,27,127,徐鑫,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,28,128,欧阳一茗,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,29,129,周吉吉,长沙半小时车队,DNS,DNS,DNS,DNS,0,0
4,男子组,30,130,李祖彜/Barry Lee,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
4,男子组,31,131,邓科,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
4,男子组,32,132,刘智豪,西虹试飞客队,DNS,DNS,DNS,DNS,0,0
4,男子组,33,133,黄浩,天空穿越车队,DNS,DNS,DNS,DNS,0,0
4,男子组,34,134,周鹰,天空穿越车队,DNS,DNS,DNS,DNS,0,0
4,男子组,35,135,黄乐,天空穿越车队,DNS,DNS,DNS,DNS,0,0
4,男子组,36,136,许中柱,天空穿越车队,DNS,DNS,DNS,DNS,0,0
4,男子组,37,137,李俊,天空穿越车队,DNS,DNS,DNS,DNS,0,0
4,男子组,38,138,王舒,上海魅力单车,DNS,DNS,DNS,DNS,0,0
4,男子组,39,139,马凌轩,上海魅力单车,DNS,DNS,DNS,DNS,0,0
4,男子组,40,140,彭先元,上海魅力单车,DNS,DNS,DNS,DNS,0,0
4,男子组,41,141,许皓,上海魅力单车,DNS,DNS,DNS,DNS,0,0
4,男子组,42,142,罗磊,蓝色单车,DNS,DNS,DNS,DNS,0,0
4,男子组,43,143,周智文,蓝色单车,DNS,DNS,DNS,DNS,0,0
4,男子组,44,144,陈南剑,蜗牛队,DNS,DNS,DNS,DNS,0,0
4,男子组,45,145,张代行,蜗牛队,DNS,DNS,DNS,DNS,0,0
4,男子组,46,146,陈曦,阿里天驱,DNS,DNS,DNS,DNS,0,0
4,男子组,47,147,陈一栋,HIBP,DNS,DNS,DNS,DNS,0,0
4,男子组,48,148,喻杰,HangZhou Giant,DNS,DNS,DNS,DNS,0,0
